vo,route_id,F_Class,Urban_Type,Fd_Aid_Rd,Control,Num_Lanes,Opp_Lanes,Surface_Tp,Surface_Wd,Shldr_Rt_W,Shldr_Rt_T,Shldr_Lt_W,Shldr_Lt_T,Shldr_UL_W,Shldr_UL_T,Med_Width,Med_Type,Curb,Lt_Sidewlk,Rt_Sidewlk,Terrain,Toll_Road,City,County,AADT,AADT_Year,Length
187,B0051,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,343,27,,,2.0826841
188,B0052,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,103,27,,,0.1510999
189,B0052,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,103,27,,,0.6793912
190,B0053,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,0,1,,103,27,,,0.2870188
191,B0054,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,103,27,,,0.5745206
192,B0055,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,0,1,,97,27,,,0.6408151
193,B0056,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,2,,140,27,,,0.8366175
194,B0057,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,2,,140,27,,,0.3287779
195,B0058,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,2,,140,27,,,0.4098815
196,B0059,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,2,,140,27,,,0.6464836
197,B0060,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,140,27,,,1.2448497
198,B0061,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,241,27,,,0.7434332
199,B0062,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,241,27,,,0.7890478
200,B0063,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,153,27,,,0.0668261
201,B0063,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,241,27,,,0.0011739
202,B0063,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,241,27,,,0.416
203,B0063,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,241,27,,,0.0061328
204,B0063,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,1,,153,27,,,0.2764742
205,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,1.7347852
206,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.5323111
207,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.2937929
208,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.0060099
209,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.2656731
210,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.6091306
211,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.3234043
212,B0064,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,,21,27,,,0.3003388
